"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 23:20:32 GMT 2022","Wed Oct 19 23:20:36 GMT 2022","3914","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Wed Oct 19 23:20:22 GMT 2022","Wed Oct 19 23:20:23 GMT 2022","339","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"failed","Wed Oct 19 23:20:23 GMT 2022","Wed Oct 19 23:20:32 GMT 2022","8671","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Wed Oct 19 23:20:21 GMT 2022","Wed Oct 19 23:20:22 GMT 2022","757","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Wed Oct 19 23:20:22 GMT 2022","Wed Oct 19 23:20:22 GMT 2022","471","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Wed Oct 19 23:20:36 GMT 2022","Wed Oct 19 23:20:37 GMT 2022","599","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Wed Oct 19 23:20:32 GMT 2022","Wed Oct 19 23:20:32 GMT 2022","269","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Wed Oct 19 23:20:37 GMT 2022","Wed Oct 19 23:20:37 GMT 2022","594","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
