"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 22:52:22 EET 2022","Wed Oct 19 22:52:29 EET 2022","7084","All Tests Suite","SpriteCloud","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Wed Oct 19 22:52:36 EET 2022","Wed Oct 19 22:52:43 EET 2022","7453","All Tests Suite","SpriteCloud","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Wed Oct 19 22:52:50 EET 2022","Wed Oct 19 22:52:58 EET 2022","7446","All Tests Suite","SpriteCloud","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"failed","Wed Oct 19 22:51:05 EET 2022","Wed Oct 19 22:51:47 EET 2022","42394","All Tests Suite","SpriteCloud","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Wed Oct 19 22:53:24 EET 2022","Wed Oct 19 22:53:27 EET 2022","2466","All Tests Suite","SpriteCloud","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Wed Oct 19 22:53:22 EET 2022","Wed Oct 19 22:53:24 EET 2022","2410","All Tests Suite","SpriteCloud","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Wed Oct 19 22:53:05 EET 2022","Wed Oct 19 22:53:12 EET 2022","7183","All Tests Suite","SpriteCloud","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Wed Oct 19 22:53:12 EET 2022","Wed Oct 19 22:53:22 EET 2022","9828","All Tests Suite","SpriteCloud","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
