"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 23:24:28 GMT 2022","Wed Oct 19 23:24:28 GMT 2022","273","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"failed","Wed Oct 19 23:24:29 GMT 2022","Wed Oct 19 23:24:36 GMT 2022","6594","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Wed Oct 19 23:24:36 GMT 2022","Wed Oct 19 23:24:39 GMT 2022","2915","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Wed Oct 19 23:24:39 GMT 2022","Wed Oct 19 23:24:39 GMT 2022","234","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Wed Oct 19 23:24:28 GMT 2022","Wed Oct 19 23:24:28 GMT 2022","236","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Wed Oct 19 23:24:39 GMT 2022","Wed Oct 19 23:24:39 GMT 2022","202","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Wed Oct 19 23:24:28 GMT 2022","Wed Oct 19 23:24:29 GMT 2022","446","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Wed Oct 19 23:24:29 GMT 2022","Wed Oct 19 23:24:29 GMT 2022","340","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
