"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 23:35:51 GMT 2022","Wed Oct 19 23:35:51 GMT 2022","344","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Wed Oct 19 23:35:50 GMT 2022","Wed Oct 19 23:35:51 GMT 2022","465","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Wed Oct 19 23:36:01 GMT 2022","Wed Oct 19 23:36:01 GMT 2022","267","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Wed Oct 19 23:35:51 GMT 2022","Wed Oct 19 23:35:51 GMT 2022","211","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Wed Oct 19 23:36:01 GMT 2022","Wed Oct 19 23:36:01 GMT 2022","216","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"failed","Wed Oct 19 23:35:51 GMT 2022","Wed Oct 19 23:35:58 GMT 2022","6469","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Wed Oct 19 23:35:58 GMT 2022","Wed Oct 19 23:36:01 GMT 2022","2421","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Wed Oct 19 23:35:58 GMT 2022","Wed Oct 19 23:35:58 GMT 2022","160","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
