"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 00:22:48 GMT 2022","Thu Oct 20 00:22:48 GMT 2022","236","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 00:22:45 GMT 2022","Thu Oct 20 00:22:48 GMT 2022","2630","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 00:22:37 GMT 2022","Thu Oct 20 00:22:37 GMT 2022","230","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 00:22:38 GMT 2022","Thu Oct 20 00:22:38 GMT 2022","300","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 00:22:48 GMT 2022","Thu Oct 20 00:22:48 GMT 2022","225","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 00:22:38 GMT 2022","Thu Oct 20 00:22:38 GMT 2022","404","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 00:22:37 GMT 2022","Thu Oct 20 00:22:37 GMT 2022","230","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"failed","Thu Oct 20 00:22:38 GMT 2022","Thu Oct 20 00:22:45 GMT 2022","6550","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
