"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 01:04:11 GMT 2022","Thu Oct 20 01:04:12 GMT 2022","487","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 01:04:12 GMT 2022","Thu Oct 20 01:04:12 GMT 2022","347","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 01:04:19 GMT 2022","Thu Oct 20 01:04:19 GMT 2022","159","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 01:04:12 GMT 2022","Thu Oct 20 01:04:12 GMT 2022","203","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 01:04:22 GMT 2022","Thu Oct 20 01:04:22 GMT 2022","252","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"failed","Thu Oct 20 01:04:12 GMT 2022","Thu Oct 20 01:04:19 GMT 2022","6591","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 01:04:22 GMT 2022","Thu Oct 20 01:04:23 GMT 2022","244","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 01:04:19 GMT 2022","Thu Oct 20 01:04:22 GMT 2022","2898","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
