"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 01:19:24 GMT 2022","Thu Oct 20 01:19:24 GMT 2022","307","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 01:19:35 GMT 2022","Thu Oct 20 01:19:35 GMT 2022","294","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 01:19:31 GMT 2022","Thu Oct 20 01:19:32 GMT 2022","184","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 01:19:23 GMT 2022","Thu Oct 20 01:19:24 GMT 2022","524","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 01:19:32 GMT 2022","Thu Oct 20 01:19:35 GMT 2022","2843","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 01:19:35 GMT 2022","Thu Oct 20 01:19:35 GMT 2022","263","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"failed","Thu Oct 20 01:19:24 GMT 2022","Thu Oct 20 01:19:31 GMT 2022","7035","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 01:19:24 GMT 2022","Thu Oct 20 01:19:24 GMT 2022","218","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
