"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 00:20:35 GMT 2022","Thu Oct 20 00:20:35 GMT 2022","382","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"failed","Thu Oct 20 00:20:35 GMT 2022","Thu Oct 20 00:20:46 GMT 2022","10413","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 00:20:51 GMT 2022","Thu Oct 20 00:20:52 GMT 2022","891","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 00:20:34 GMT 2022","Thu Oct 20 00:20:34 GMT 2022","555","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 00:20:46 GMT 2022","Thu Oct 20 00:20:50 GMT 2022","3897","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 00:20:46 GMT 2022","Thu Oct 20 00:20:46 GMT 2022","335","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 00:20:33 GMT 2022","Thu Oct 20 00:20:34 GMT 2022","784","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 00:20:50 GMT 2022","Thu Oct 20 00:20:51 GMT 2022","896","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
