"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 14:40:19 GMT 2022","Thu Oct 20 14:40:19 GMT 2022","640","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 14:40:21 GMT 2022","Thu Oct 20 14:40:22 GMT 2022","463","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 14:40:31 GMT 2022","Thu Oct 20 14:40:31 GMT 2022","331","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 14:40:21 GMT 2022","Thu Oct 20 14:40:21 GMT 2022","261","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"failed","Thu Oct 20 14:40:22 GMT 2022","Thu Oct 20 14:40:31 GMT 2022","8657","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 14:40:20 GMT 2022","Thu Oct 20 14:40:21 GMT 2022","714","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 14:40:15 GMT 2022","Thu Oct 20 14:40:18 GMT 2022","3669","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 14:40:19 GMT 2022","Thu Oct 20 14:40:20 GMT 2022","607","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
