"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 01:15:24 GMT 2022","Thu Oct 20 01:15:25 GMT 2022","567","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 01:15:36 GMT 2022","Thu Oct 20 01:15:36 GMT 2022","226","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 01:15:26 GMT 2022","Thu Oct 20 01:15:26 GMT 2022","228","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 01:15:33 GMT 2022","Thu Oct 20 01:15:33 GMT 2022","164","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 01:15:33 GMT 2022","Thu Oct 20 01:15:35 GMT 2022","2783","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 01:15:35 GMT 2022","Thu Oct 20 01:15:36 GMT 2022","246","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 01:15:25 GMT 2022","Thu Oct 20 01:15:25 GMT 2022","317","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"failed","Thu Oct 20 01:15:26 GMT 2022","Thu Oct 20 01:15:32 GMT 2022","6625","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
