"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 00:58:17 GMT 2022","Thu Oct 20 00:58:18 GMT 2022","590","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 00:58:13 GMT 2022","Thu Oct 20 00:58:13 GMT 2022","286","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 00:58:02 GMT 2022","Thu Oct 20 00:58:03 GMT 2022","421","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 00:58:16 GMT 2022","Thu Oct 20 00:58:17 GMT 2022","597","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 00:58:02 GMT 2022","Thu Oct 20 00:58:02 GMT 2022","688","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 00:58:03 GMT 2022","Thu Oct 20 00:58:03 GMT 2022","350","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 00:58:13 GMT 2022","Thu Oct 20 00:58:16 GMT 2022","3514","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"failed","Thu Oct 20 00:58:04 GMT 2022","Thu Oct 20 00:58:12 GMT 2022","8961","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
