"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 00:41:33 GMT 2022","Thu Oct 20 00:41:34 GMT 2022","316","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"failed","Thu Oct 20 00:41:23 GMT 2022","Thu Oct 20 00:41:33 GMT 2022","10325","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 00:41:21 GMT 2022","Thu Oct 20 00:41:22 GMT 2022","538","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Thu Oct 20 00:41:38 GMT 2022","Thu Oct 20 00:41:39 GMT 2022","900","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 00:41:38 GMT 2022","Thu Oct 20 00:41:38 GMT 2022","921","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 00:41:20 GMT 2022","Thu Oct 20 00:41:21 GMT 2022","987","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
"passed","Thu Oct 20 00:41:22 GMT 2022","Thu Oct 20 00:41:22 GMT 2022","393","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 00:41:34 GMT 2022","Thu Oct 20 00:41:38 GMT 2022","3991","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
