"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 23:03:18 GMT 2022","Wed Oct 19 23:03:18 GMT 2022","535","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"passed","Wed Oct 19 23:03:35 GMT 2022","Wed Oct 19 23:03:35 GMT 2022","319","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Wed Oct 19 23:03:18 GMT 2022","Wed Oct 19 23:03:19 GMT 2022","450","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Wed Oct 19 23:03:35 GMT 2022","Wed Oct 19 23:03:39 GMT 2022","4063","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Wed Oct 19 23:03:39 GMT 2022","Wed Oct 19 23:03:40 GMT 2022","898","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"failed","Wed Oct 19 23:03:19 GMT 2022","Wed Oct 19 23:03:34 GMT 2022","15304","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Wed Oct 19 23:03:40 GMT 2022","Wed Oct 19 23:03:41 GMT 2022","902","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Wed Oct 19 23:03:17 GMT 2022","Wed Oct 19 23:03:18 GMT 2022","809","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
