"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 01:19:48 GMT 2022","Thu Oct 20 01:19:48 GMT 2022","344","Surefire suite","Surefire test","uiTests.DynamicTableTest","uiTests.DynamicTableTest","dynamicTableTest","dynamicTableTest",""
"failed","Thu Oct 20 01:19:49 GMT 2022","Thu Oct 20 01:19:55 GMT 2022","6466","Surefire suite","Surefire test","uiTests.LinksTest","uiTests.LinksTest","testLinks","testLinks",""
"passed","Thu Oct 20 01:19:48 GMT 2022","Thu Oct 20 01:19:49 GMT 2022","216","Surefire suite","Surefire test","uiTests.ClickTest","uiTests.ClickTest","clickTest","clickTest",""
"passed","Thu Oct 20 01:19:58 GMT 2022","Thu Oct 20 01:19:59 GMT 2022","225","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","DeletePetTest","DeletePetTest",""
"passed","Thu Oct 20 01:19:59 GMT 2022","Thu Oct 20 01:19:59 GMT 2022","220","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","EditPetDetailsTest","EditPetDetailsTest",""
"passed","Thu Oct 20 01:19:55 GMT 2022","Thu Oct 20 01:19:55 GMT 2022","173","Surefire suite","Surefire test","uiTests.ScrollbarsTest","uiTests.ScrollbarsTest","scrollBarTest","scrollBarTest",""
"passed","Thu Oct 20 01:19:55 GMT 2022","Thu Oct 20 01:19:58 GMT 2022","3019","Surefire suite","Surefire test","apiTests.tests.Tests","apiTests.tests.Tests","createNewPetTest","createNewPetTest",""
"passed","Thu Oct 20 01:19:47 GMT 2022","Thu Oct 20 01:19:48 GMT 2022","517","Surefire suite","Surefire test","uiTests.SampleAppTest","uiTests.SampleAppTest","sampleAppTest","sampleAppTest",""
